#domain
hospital
#levelname
MATheZoo
#colors
blue: 0, 4, A
green: 1, 2, B
purple: 3, 8, C
orange: 5, D
pink: 6, 9, Y, X
red: 7
#initial
++++++++++++++++++++++++++
+0       ++1 + + 6       +
+        +  ++B+        X+
+        ++ ++ +        Y+
+              + 9       +
+++++++++++ ++++++++++++++
++++++D++++ +++++++ C  +++
++++++ ++++ +++++++ ++ +++
+4A       + +2 C+C+ ++   +
+         +A+   +      + +
+A        +++B 3+ + +    +
+A        +8+++++ + +    +
+5A       +        7    ++
++++++++++++++++++++++++++
#goal
++++++++++++++++++++++++++
+0       ++ A+B+        X+
+        + 1++ +6        +
+        ++ ++ +9        +
+              +        Y+
+++++++++++ ++++++++++++++
++++++ ++++ +++++++    +++
++++++ ++++ +++++++ ++ +++
+4  A     + +C 3+7+ ++  8+
+   A     + +   +      + +
+        D+++2 B+ + +    +
+   A     + +++++ + +    +
+5  A     +C            ++
++++++++++++++++++++++++++
#end
#clientname
vAIkings
#actions
199803902:Move(S);NoOp;Move(S);Move(N);Push(E,E);NoOp;Move(S);NoOp;Move(S);NoOp
5476224025:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
5572280724:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
5668558609:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
5760655595:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
5901979265:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
5994688220:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
6086093152:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
6209838494:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
6308251435:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
6401893605:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
6518759630:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
6614242635:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
6715407041:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
6811941325:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
6905554820:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
7047107421:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
7140499574:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
7232472673:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
7362019833:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
7454114574:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
7545636383:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
7661722396:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
7755779669:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
7850738451:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
7951166500:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
8044270853:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
8184045383:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
8278993494:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
8370352649:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
8495004189:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
8586715774:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
8679098394:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
8794776729:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
8890874979:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
8986652902:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
9082198758:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
9173438906:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
9314731084:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
9411555288:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
9504357752:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
9628786246:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
9720887243:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
9817227842:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
9935194541:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
10030637259:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
10125934608:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
10224448580:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
10317252178:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
10464234434:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
10558413348:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
10651956303:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
10778701288:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
10872068746:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
10965419255:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
11083045662:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
11178327870:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
11276803165:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
11377985783:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
11468904874:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
11608777574:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
11701290207:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
11792490753:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
11917773434:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
12008794153:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
12101429695:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
12222306972:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
12316064872:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
12412042657:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
12507583190:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
12599180661:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
12740075851:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
12835228221:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
12926012291:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
13048560815:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
13138603412:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
13231250147:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
13350013201:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
13446193175:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
13540414473:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
13636370232:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
13728280145:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
13867016010:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
13960441509:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
14055315554:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
14177349831:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
14270251352:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
14361796000:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
14477792408:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
14572188994:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
14667398843:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
14764051270:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
14856043375:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
14995333947:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
15087678250:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
15179185114:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
15304524562:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
15396432503:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
15488957862:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
15604931626:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
15699630613:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
15794877250:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
15890788735:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
15983287097:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
16125026398:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
16219635659:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
16318537198:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
16440886685:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
16539417630:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
16631455162:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
16746677961:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
16841381694:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
16936552536:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
17035266277:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
17127199372:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
17269589918:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
17362520232:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
17458669535:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
17582459416:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
17673669171:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
17765567310:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
17881720308:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
17975455739:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
18068964500:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
18163932111:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
18260932627:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
18401036621:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
18494867813:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
18587389529:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
18709912261:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
18809556281:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
18900900262:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
19018220295:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
19113824722:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
19208555876:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
19306744018:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
19402144526:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
19542378769:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
19635055697:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
19727176438:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
19850225243:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
19942377866:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
20037348371:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
20155811570:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
20250523401:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
20345598881:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
20440883508:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
20534818609:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
20675221403:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
20768320314:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
20859625949:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
20982952943:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
21074695624:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
21165598477:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
21287675499:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
21385764481:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
21481386331:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
21581143706:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
21675420993:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
21821016829:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
21916036469:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
22007994742:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
22132373027:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
22225602659:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
22317665996:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
22437563557:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
22533612679:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
22628654865:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
22723818888:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
22814983694:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
